SCI;NO;EN
Struthio camelus;slettestruts;Common Ostrich
Struthio molybdophanes;somalistruts;Somali Ostrich
Rhea americana;stornandu;Greater Rhea
Rhea pennata;fjellnandu;Lesser Rhea
Apteryx australis;sørbrunkivi;Southern Brown Kiwi
Apteryx mantelli;nordbrunkivi;North Island Brown Kiwi
Apteryx rowi;okaritokivi;Okarito Kiwi
Apteryx owenii;dvergkivi;Little Spotted Kiwi
Apteryx maxima;flekkivi;Great Spotted Kiwi
Casuarius casuarius;toflikkasuar;Southern Cassowary
Casuarius bennetti;dvergkasuar;Dwarf Cassowary
Casuarius unappendiculatus;enflikkasuar;Northern Cassowary
Dromaius novaehollandiae;emu;Emu
Tinamus tao;taotinamu;Grey Tinamou
Tinamus solitarius;eremittinamu;Solitary Tinamou
Tinamus osgoodi;svarttinamu;Black Tinamou
Tinamus major;stortinamu;Great Tinamou
Tinamus guttatus;perletinamu;White-throated Tinamou
Nothocercus bonapartei;bambustinamu;Highland Tinamou
Nothocercus julius;brunbrysttinamu;Tawny-breasted Tinamou
Nothocercus nigrocapillus;blyhettetinamu;Hooded Tinamou
Crypturellus berlepschi;sottinamu;Berlepsch's Tinamou
Crypturellus cinereus;gråtinamu;Cinereous Tinamou
Crypturellus soui;småtinamu;Little Tinamou
Crypturellus ptaritepui;tepuitinamu;Tepui Tinamou
Crypturellus obsoletus;bruntinamu;Brown Tinamou
Crypturellus undulatus;amazontinamu;Undulated Tinamou
Crypturellus transfasciatus;hvitbryntinamu;Pale-browed Tinamou
Crypturellus strigulosus;brasiltinamu;Brazilian Tinamou
Crypturellus duidae;gråbeintinamu;Grey-legged Tinamou
Crypturellus erythropus;rødbeintinamu;Red-legged Tinamou
Crypturellus noctivagus;gulbeintinamu;Yellow-legged Tinamou
Crypturellus atrocapillus;svarthettetinamu;Black-capped Tinamou
Crypturellus cinnamomeus;krattinamu;Thicket Tinamou
Crypturellus boucardi;gråbrysttinamu;Slaty-breasted Tinamou
Crypturellus kerriae;chocotinamu;Choco Tinamou
Crypturellus variegatus;rusthalstinamu;Variegated Tinamou
Crypturellus brevirostris;jungeltinamu;Rusty Tinamou
Crypturellus bartletti;skogtinamu;Bartlett's Tinamou
Crypturellus parvirostris;kortnebbtinamu;Small-billed Tinamou
Crypturellus casiquiare;stripetinamu;Barred Tinamou
Crypturellus tataupa;tataupatinamu;Tataupa Tinamou
Rhynchotus rufescens;rødvingetinamu;Red-winged Tinamou
Rhynchotus maculicollis;flekkhalstinamu;Huayco Tinamou
Nothoprocta taczanowskii;perutinamu;Taczanowski's Tinamou
Nothoprocta ornata;fjelltinamu;Ornate Tinamou
Nothoprocta perdicaria;chiletinamu;Chilean Tinamou
Nothoprocta cinerascens;busktinamu;Brushland Tinamou
Nothoprocta pentlandii;andestinamu;Andean Tinamou
Nothoprocta curvirostris;krumnebbtinamu;Curve-billed Tinamou
Nothura boraquira;hvitøyetinamu;White-bellied Nothura
Nothura minor;dvergtinamu;Lesser Nothura
Nothura darwinii;darwintinamu;Darwin's Nothura
Nothura maculosa;flekktinamu;Spotted Nothura
Taoniscus nanus;pygmétinamu;Dwarf Tinamou
Eudromia elegans;sørtopptinamu;Elegant Crested Tinamou
Eudromia formosa;nordtopptinamu;Quebracho Crested Tinamou
Tinamotis pentlandii;punatinamu;Puna Tinamou
Tinamotis ingoufi;patagoniatinamu;Patagonian Tinamou
Anhima cornuta;horngjeterfugl;Horned Screamer
Chauna chavaria;svarthalsgjeterfugl;Northern Screamer
Chauna torquata;kragegjeterfugl;Southern Screamer
Anseranas semipalmata;skjæregås;Magpie Goose
Dendrocygna viduata;maskeplystreand;White-faced Whistling Duck
Dendrocygna autumnalis;rødnebbplystreand;Black-bellied Whistling Duck
Dendrocygna guttata;perleplystreand;Spotted Whistling Duck
Dendrocygna arborea;palmeplystreand;West Indian Whistling Duck
Dendrocygna bicolor;brunplystreand;Fulvous Whistling Duck
Dendrocygna eytoni;prydplystreand;Plumed Whistling Duck
Dendrocygna arcuata;hetteplystreand;Wandering Whistling Duck
Dendrocygna javanica;småplystreand;Lesser Whistling Duck
Thalassornis leuconotus;hvitryggand;White-backed Duck
Cereopsis novaehollandiae;hønsegås;Cape Barren Goose
Branta bernicla;ringgås;Brant Goose
Branta ruficollis;rødhalsgås;Red-breasted Goose
Branta sandvicensis;hawaiigås;Nene
Branta canadensis;kanadagås;Canada Goose
Branta leucopsis;hvitkinngås;Barnacle Goose
Branta hutchinsii;polargås;Cackling Goose
Anser indicus;stripegås;Bar-headed Goose
Anser canagicus;keisergås;Emperor Goose
Anser rossii;eskimogås;Ross's Goose
Anser caerulescens;snøgås;Snow Goose
Anser anser;grågås;Greylag Goose
Anser cygnoides;svanegås;Swan Goose
Anser fabalis;taigasædgås;Taiga Bean Goose
Anser brachyrhynchus;kortnebbgås;Pink-footed Goose
Anser serrirostris;tundrasædgås;Tundra Bean Goose
Anser albifrons;tundragås;Greater White-fronted Goose
Anser erythropus;dverggås;Lesser White-fronted Goose
Coscoroba coscoroba;coscorobasvane;Coscoroba Swan
Cygnus atratus;svartsvane;Black Swan
Cygnus melancoryphus;svarthalssvane;Black-necked Swan
Cygnus olor;knoppsvane;Mute Swan
Cygnus buccinator;trompetsvane;Trumpeter Swan
Cygnus columbianus;dvergsvane;Tundra Swan
Cygnus cygnus;sangsvane;Whooper Swan
Stictonetta naevosa;fregneand;Freckled Duck
Hymenolaimus malacorhynchos;kaskadeand;Blue Duck
Tachyeres patachonicus;patagoniaskovleand;Flying Steamer Duck
Tachyeres pteneres;chileskovleand;Fuegian Steamer Duck
Tachyeres brachypterus;falklandsskovleand;Falkland Steamer Duck
Tachyeres leucocephalus;hvithodeskovleand;Chubut Steamer Duck
Merganetta armata;strømand;Torrent Duck
Plectropterus gambensis;sporegås;Spur-winged Goose
Sarkidiornis sylvicola;kjølnebband;Comb Duck
Sarkidiornis melanotos;kamand;Knob-billed Duck
Cyanochen cyanoptera;blåvingegås;Blue-winged Goose
Alopochen aegyptiaca;niland;Egyptian Goose
Alopochen mauritiana;mauritiusand;Mauritius Sheldgoose
Alopochen kervazoi;reunionand;Reunion Sheldgoose
Neochen jubata;amazongås;Orinoco Goose
Chloephaga melanoptera;andesgås;Andean Goose
Chloephaga picta;sebragås;Upland Goose
Chloephaga hybrida;taregås;Kelp Goose
Chloephaga poliocephala;gråhodegås;Ashy-headed Goose
Chloephaga rubidiceps;brunhodegås;Ruddy-headed Goose
Radjah radjah;beltegravand;Radjah Shelduck
Tadorna tadorna;gravand;Common Shelduck
Tadorna ferruginea;rustand;Ruddy Shelduck
Tadorna cana;kapprustand;South African Shelduck
Tadorna tadornoides;praktrustand;Australian Shelduck
Tadorna variegata;maorirustand;Paradise Shelduck
Tadorna cristata;koreagravand;Crested Shelduck
Malacorhynchus membranaceus;leppeand;Pink-eared Duck
Salvadorina waigiuensis;tigerand;Salvadori's Teal
Cairina moschata;knoppand;Muscovy Duck
Asarcornis scutulata;jungeland;White-winged Duck
Pteronetta hartlaubii;mahogniand;Hartlaub's Duck
Aix sponsa;brudeand;Wood Duck
Aix galericulata;mandarinand;Mandarin Duck
Chenonetta jubata;mankeand;Maned Duck
Nettapus auritus;praktdvergand;African Pygmy Goose
Nettapus coromandelianus;beltedvergand;Cotton Pygmy Goose
Nettapus pulchellus;grønndvergand;Green Pygmy Goose
Amazonetta brasiliensis;brasiland;Brazilian Teal
Callonetta leucophrys;prydand;Ringed Teal
Lophonetta specularioides;duskand;Crested Duck
Speculanas specularis;bronsevingeand;Bronze-winged Duck
Sibirionetta formosa;gulkinnand;Baikal Teal
Spatula querquedula;knekkand;Garganey
Spatula hottentota;sumpand;Blue-billed Teal
Spatula puna;punaand;Puna Teal
Spatula versicolor;sølvand;Silver Teal
Spatula platalea;prikkskjeand;Red Shoveler
Spatula cyanoptera;kaneland;Cinnamon Teal
Spatula discors;blåvingeand;Blue-winged Teal
Spatula smithii;kappskjeand;Cape Shoveler
Spatula rhynchotis;sigdskjeand;Australasian Shoveler
Spatula clypeata;skjeand;Northern Shoveler
Mareca strepera;snadderand;Gadwall
Mareca falcata;sibirand;Falcated Duck
Mareca penelope;brunnakke;Eurasian Wigeon
Mareca sibilatrix;sørblesand;Chiloe Wigeon
Mareca americana;amerikablesand;American Wigeon
Mareca marecula;amsterdamblesand;Amsterdam Wigeon
Anas sparsa;elveand;African Black Duck
Anas undulata;gulnebband;Yellow-billed Duck
Anas melleri;madagaskarand;Meller's Duck
Anas superciliosa;stripeand;Pacific Black Duck
Anas laysanensis;laysanand;Laysan Duck
Anas wyvilliana;hawaiiand;Hawaiian Duck
Anas luzonica;filippinerand;Philippine Duck
Anas poecilorhyncha;flekknebband;Indian Spot-billed Duck
Anas zonorhyncha;kinaand;Eastern Spot-billed Duck
Anas platyrhynchos;stokkand;Mallard
Anas fulvigula;golfand;Mottled Duck
Anas rubripes;rødfotand;American Black Duck
Anas diazi;mexicoand;Mexican Duck
Anas capensis;kappand;Cape Teal
Anas bahamensis;hvitkinnand;White-cheeked Pintail
Anas erythrorhyncha;rødnebband;Red-billed Teal
Anas georgica;spisshaleand;Yellow-billed Pintail
Anas eatoni;kerguelenand;Eaton's Pintail
Anas acuta;stjertand;Northern Pintail
Anas crecca;krikkand;Eurasian Teal
Anas carolinensis;amerikakrikkand;Green-winged Teal
Anas flavirostris;gulnebbkrikkand;Yellow-billed Teal
Anas andium;andeskrikkand;Andean Teal
Anas gibberifrons;gråkrikkand;Sunda Teal
Anas albogularis;hvitstrupekrikkand;Andaman Teal
Anas theodori;maskareneand;Mascarene Teal
Anas gracilis;nomadeand;Grey Teal
Anas castanea;kastanjeand;Chestnut Teal
Anas bernieri;gasserkrikkand;Bernier's Teal
Anas chlorotis;kobberand;Brown Teal
Anas aucklandica;bronseand;Auckland Teal
Anas nesiotis;campbelland;Campbell Teal
Marmaronetta angustirostris;marmorand;Marbled Duck
Rhodonessa caryophyllacea;rosenhodeand;Pink-headed Duck
Netta rufina;rødhodeand;Red-crested Pochard
Netta peposaca;peposacaand;Rosy-billed Pochard
Netta erythrophthalma;fløyelsand;Southern Pochard
Aythya valisineria;kanvasand;Canvasback
Aythya americana;kobberhodeand;Redhead
Aythya ferina;taffeland;Common Pochard
Aythya australis;australdykkand;Hardhead
Aythya innotata;alaotraand;Madagascar Pochard
Aythya baeri;amurand;Baer's Pochard
Aythya nyroca;hvitøyeand;Ferruginous Duck
Aythya novaeseelandiae;maoridykkand;New Zealand Scaup
Aythya collaris;ringand;Ring-necked Duck
Aythya fuligula;toppand;Tufted Duck
Aythya marila;bergand;Greater Scaup
Aythya affinis;purpurhodeand;Lesser Scaup
Polysticta stelleri;stellerand;Steller's Eider
Camptorhynchus labradorius;labradorand;Labrador Duck
Somateria fischeri;brilleærfugl;Spectacled Eider
Somateria spectabilis;praktærfugl;King Eider
